518	Parc St-Patrick (St-Patrick / St-Columban)
519	8e avenue / Notre-Dame Lachine
520	1ere avenue / Jean-Talon
521	LaSalle / Crawford
522	Irwin / Allard
523	Bibliothèque de Verdun (Brown / Bannantyne)
524	BIXI K5
525	Parc Jean-Drapeau (Chemin Macdonald)
526	Métro Longueuil - Université de Sherbrooke (du Terminus)
527	St-Laurent / Joliette
528	Parc Henri-Julien (Legendre / Henri-Julien)
529	Grand Boulevard / de Terrebonne
530	Cartier / Rosemont
531	Métro Langelier (Langelier / Sherbrooke)
532	de Côme / Jean-Talon
533	Gare Montpellier (Muir / de la Côte-Vertu)
534	Egan / Laurendeau
535	Métro du Collège (Cartier / Décarie)
536	Molson / Beaubien
537	Carrefour Angrignon (Angrignon / Newman)
538	St-Joseph / 8e avenue Lachine
539	Fabrik8 (Waverly / Jean-Talon)
540	Chabot / Villeray
541	Union / René-Lévesque
542	St-Jean-Baptiste / René-Lévesque
543	Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny)
544	Kirkfield / de Chambois
545	Parc de Dieppe
546	Parc Ferland (Belleherbe / Albanel)
547	Parc Eusèbe-Ménard (Gouin / St-Vital)
548	Everett / Garnier
549	Christophe-Colomb / St-Joseph
550	Wolfe / de la Gauchetière
551	Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin)
552	Graham / Brookfield
553	Bélanger / des Galeries d'Anjou
554	19e avenue / St-Zotique
555	Crescent / Ste-Catherine
556	des Jockeys / Décarie
557	Henri-Julien / du Carmel
558	Chambord / Fleury
559	St-Germain / Hochelaga
560	Papineau / Émile-Journault
561	Ernest-Gendreau / du Mont-Royal
562	Parc Howard (de l'Épée / de Liège)
563	de Lisieux / Jean-Talon
564	Michelet / Jean-Talon
565	de Mortagne / Jean-Neveu
566	Hôpital Pierre-Boucher (Jacques-Cartier / Bourdon)
567	d'Outremont / Ogilvy
568	Parc Benny (Benny / de Monkland)
569	Graham / Wicksteed
570	de Maisonneuve / de Bleury
571	Bassin olympique (Chemin du Chenal le Moyne)
572	Champdoré / de Lorimier
573	Dollard / Bernard
574	Métro Côte-Ste-Catherine (Beaucourt / de la Côte-Ste-Catherine)
575	Casgrain / St-Viateur
576	Park Row O / Sherbrooke
577	Parc Atwater (Saint-Charles)
578	Métro Snowdon (Circle / Queen-Mary)
579	de Chambly / de Rouen
580	Metcalfe / de Maisonneuve
581	Francis / Fleury
582	Parc Stoney-Point (St-Joseph / 47e avenue)
583	Parc St-Louis (St-Joseph / 34e avenue)
584	de la Montagne / Sherbrooke
585	Place Longueuil
586	Parc Kirkland (des Érables / Boyer)
587	Parc Grovehill (St-Antoine / Ivan-Franko)
588	Louis-Hébert / St-Zotique
589	La Ronde
590	de la Côte St-Antoine / Royal
591	du Rosaire / St-Hubert
592	Quai de la navette fluviale
593	Bloomfied / Elmwood
594	26e avenue / Beaubien
595	O'Brien / Poirier
596	de Hampton / de Monkland
597	Jean Langlois / Fullum
598	Casino de Montréal
599	Parc Labelle (LaSalle / Henri-Duhamel)
600	de Gaspé / de Liège
601	Liébert / Hochelaga
602	St-Joseph Lachine / 21e avenue
603	35e avenue / Beaubien
604	CCI Outremont (Dollard / Ducharme)
605	Marquette / Fleury
606	Notre-Dame-de-Grâce / Décarie
607	Métro Fabre (Fabre / Jean-Talon)
608	Elgar / de l'Île-des-Sœurs
609	Waverly / Van Horne
610	Métro Cartier
611	Parc Beaubien Outremont (Stuart / St-Viateur)
612	Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault)
613	Parc Courbertin (Valéry / Perrier)
614	Lucien L'Allier / St-Jacques
615	Parc Ludger-Duvernay (St-André / St-Hubert)
616	Paré / Mountain Sights
617	CHSLD St-Michel (8e avenue / Jarry)
618	Square Nelligan (des Appalaches / Alexis-Nihon)
619	Parc Ottawa (de Belleville / Fleury)
620	Ateliers municipaux de St-Laurent (Cavendish / Poirier)
621	Parc Beaulac (rue Élizabeth)
622	Duchesneau / de Marseille
623	Travaux publics LaSalle (Cordner / Léger)
624	Thimens / Alexis-Nihon
625	Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont)
626	Parc Pratt (Dunlop / Van Horne)
627	Parc Félix-Leclerc (François-Boivin / St-Zotique)
628	Nicolet / Sherbrooke
629	Logan / Tiffin
630	René-Philippe / André-Charpentier
631	20e avenue / de Bellechasse
632	Plymouth / Chem.Eden
633	Fernand-Lafontaine / Adoncour
634	Cartier / St-Joseph
635	Parc Olympique (Pie-IX / Sherbrooke)
636	St-Dominique / Jean-Talon
637	Keller / Cousineau
638	Parc Honoré-Mercier (Notre-Dame / Liébert)
639	Aréna Chaumont (Chaumont / des Ormeaux)
640	Larivière / de Lorimier
641	Laval / du Mont-Royal
642	Logan / Lafayette
643	LaSalle / 37e avenue
644	Parc Plage
645	LaSalle / 90e avenue
646	Parc de Beauséjour (Gouin / Henri-d'Arles)
647	Sewell / Roy
648	6e avenue / Villeray
649	Dixie / 54e avenue
650	du Cirque / Jean-Rivard
651	Victoria / 18e avenue Lachine
652	Guizot / St-Laurent
653	Ste-Famille / des Pins
654	St-André / Rachel
655	des Érables / Dandurand
656	Parc Joyce (Rockland / Lajoie)
657	Métro Montmorency
658	5e avenue / Masson
659	St-Dominique / Gounod
660	de la Vérendrye / 75e avenue
661	Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési)
662	McCulloch / de la Côte Ste-Catherine
663	Parc du Bois-Franc (de l'Équateur / des Andes)
664	Garnier / St-Joseph
665	Parc Loyola (Doherty / Somerled)
666	Fullum / Terrasse Mercure
667	Louis-Hémon / Jean-Talon
668	Fabre / Laurier
669	Parc Maurice-Bélanger (Hébert / Denommée)
670	Cégep Édouard-Montpetit (de Normandie)
671	Parc Delorme (Malouin / Laferté)
672	Parc Wilfrid-Bastien (Lacordaire / des Galets)
673	Dandurand / D'Iberville
674	de Bordeaux / Sherbrooke
675	Campus MIL (Outremont / Thérèse-Lavoie Roux)
676	Augustin-Cantin / Shearer
677	du Tricentenaire / Prince-Albert
678	Drolet / Beaubien
679	Alma / de Bellechasse
680	de Bordeaux / Mont-Royal
681	St-Jacques / Guy
682	Hochelaga / Chapleau
683	Parc Armand-Bombardier (Perras / Armand-Bombardier)
684	de Gaspé / Beaubien
